DOMAIN                                                                                              IP ADDRESS
qdb-d-i.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
qdb-i.idm.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
qidp-c-1.idm.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
qidp-c-1-i.idm.it.tuwien.ac.at                                                                      No IP, maybe it is down or unreachable
qidp-d-1.idm.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
qidp-d-1-i.idm.it.tuwien.ac.at                                                                      No IP, maybe it is down or unreachable
qlb-c.idm.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
qloader.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
qloader-i.idm.it.tuwien.ac.at                                                                       No IP, maybe it is down or unreachable
qlogin-i.idm.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
www.qlogin-i.idm.it.tuwien.ac.at                                                                    No IP, maybe it is down or unreachable
qnetiq.idm.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
qnetiq-c.idm.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
qnetiq-c-i.idm.it.tuwien.ac.at                                                                      No IP, maybe it is down or unreachable
qnetiq-d.idm.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
qnetiq-d-i.idm.it.tuwien.ac.at                                                                      No IP, maybe it is down or unreachable
qstore-c-1.idm.it.tuwien.ac.at                                                                      No IP, maybe it is down or unreachable
qstore-c-1-i.idm.it.tuwien.ac.at                                                                    No IP, maybe it is down or unreachable
qstore-d-1.idm.it.tuwien.ac.at                                                                      No IP, maybe it is down or unreachable
qstore-d-1-i.idm.it.tuwien.ac.at                                                                    No IP, maybe it is down or unreachable
qstore-i.idm.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
www.qstore-i.idm.it.tuwien.ac.at                                                                    No IP, maybe it is down or unreachable
store-c-1.idm.it.tuwien.ac.at                                                                       No IP, maybe it is down or unreachable
store-c-1-i.idm.it.tuwien.ac.at                                                                     No IP, maybe it is down or unreachable
store-d-1.idm.it.tuwien.ac.at                                                                       No IP, maybe it is down or unreachable
